,SDSS_NAME,RA,DEC,PLATE,MJD,FIBERID,AUTOCLASS_PQN,Z,BAL_PROB,BI_CIV,AI_CIV
1956,080834.04+363004.0,122.14185997642434,36.50113557149444,3804,55267,386,QSO,2.484,0.0,0.0,0.0
1957,020040.97+043211.1,30.170728455277867,4.5364168042696225,8736,57400,561,QSO,2.426912546157837,0.0,0.0,0.0
1958,004616.95+202710.7,11.570632188914146,20.45299213379301,7619,56900,506,QSO,3.329,0.0,0.0,0.0
1959,000622.69+072709.9,1.594555252735745,7.452770426586814,11309,58428,770,QSO,1.7022682428359985,0.0,0.0,0.0
1960,212912.79-010321.2,322.30333067083984,-1.0559054081057282,9141,57663,105,QSO,1.7067691087722778,0.0,0.0,0.0
1961,154348.57+073800.3,235.95239789900455,7.633437819975908,4881,55733,834,QSO,2.787,0.0,0.0,0.0
1962,171841.84+333713.2,259.67433952218585,33.62034279551254,4994,55739,171,QSO,2.431,0.0,0.0,0.0
1963,104808.66+470017.2,162.0361053844636,47.004792824020335,7391,56781,866,QSO,2.075,0.0,0.0,0.0
1964,021228.56+023131.7,33.119040911021045,2.5254942789061485,4269,55502,962,QSO,2.106,0.0,0.0,0.0
1965,095839.64+415108.2,149.66518644383297,41.8523006755892,4565,55591,300,QSO,2.911,0.0,0.0,0.0
1966,153959.29+400520.2,234.9970425636953,40.088970819007855,8517,57899,979,QSO,2.2972805500030518,0.0,0.0,0.0
1967,000627.17-030224.6,1.613245752804417,-3.040190109130661,4365,55539,476,QSO,2.514,0.0,0.0,0.0
1968,081804.38+385701.6,124.51825152502006,38.95046292778431,9361,58055,298,QSO,1.756292700767517,0.0,0.0,0.0
1969,074622.28+430250.2,116.59286276850729,43.04727943856319,3674,55182,712,QSO,2.389,0.0,0.0,0.0
1970,100807.05+313304.7,152.02939482422772,31.551318347257787,6461,56329,400,QSO,2.187,0.0,0.0,0.0
1971,134221.91+124713.9,205.59129295317405,12.787210146084256,5438,56002,856,QSO,2.862,0.0,0.0,0.0
1972,212236.04-002157.5,320.65020746544707,-0.3659829664517997,4193,55476,392,QSO,2.59,0.0,0.0,0.0
1973,084855.44+411710.5,132.23101242195844,41.28625762632482,8295,57401,104,QSO,1.8091495037078857,0.0,0.0,0.0
1974,230526.52+093545.8,346.36050582792757,9.596070533701246,6162,56191,652,QSO,2.901,0.0,0.0,0.0
1975,142937.05+183849.6,217.40441453885228,18.647125185680895,5897,56042,48,QSO,3.033,0.0,0.0,0.0
1976,015345.73+262251.1,28.440579651099483,26.380867408038007,7690,57046,827,QSO,1.7228682041168213,0.0,0.0,0.0
1977,211733.08-011829.3,319.3878594281094,-1.3081512340467425,4383,55881,543,QSO,2.103,0.0,0.0,0.0
1978,162034.75+301319.9,245.1448066506207,30.2222019810663,10918,58254,165,QSO,2.121320962905884,0.0,0.0,0.0
1979,101152.42+282526.4,152.96842215663554,28.42400172118982,6470,56334,712,QSO,1.817,0.0,0.0,0.0
1980,082634.07+540332.8,126.64197203279859,54.05913166011212,7376,56749,29,QSO,1.941,0.0,0.0,0.0
1981,141333.95+170106.5,213.39147980340454,17.01848947151717,5454,56015,156,QSO,2.283,0.0,0.0,0.0
1982,144912.03+095703.6,222.30015852809237,9.9510260256733,5475,56011,324,QSO,1.631,0.0,0.0,0.0
1983,102908.26+471742.2,157.28442992402978,47.29507181088892,6659,56607,810,QSO,3.041,0.0,0.0,0.0
